102.2 Smooth FM,102.2 Smooth FM,Smooth,
4Music,4Music,4Music,4music.channel4.com
5* +1,5* +1,5*+1,tsod.plus-1.fiver.channel5
5*,5*,5*,fiver.channel5.co.uk
Aastha,Aastha,Aastha,
Absolute 80s,Absolute 80s,Abs80s,
Absolute Classic Rock,Absolute Classic Rock,AbsClsRk,
Absolute Radio,Absolute Radio,Absolute,
Absolute Xtreme,Absolute Xtreme,AbsX,
Abu Dhabi TV,Abu Dhabi TV,Abu Dhabi TV,
ADULT Babestn2,Babestation 2,Babestn2,x
ADULT Babestn,Babestation,Babestn,x
Babestation,Babestation,Babestn,x
ADULT Blue,Adult Blue,Blue,x
Adult Freeview,Adult Freeview,AdtFV,x
ADULT PARTY,Adult Party,Party,x
ADULT Playboy,Playboy,Playboy,x
ADULT smileTV2,Adult smileTV2,smileTV2,x
ADULT smileTV3,Adult smileTV3,smileTV3,x
AHLEBAIT TV,Ahlulbayt TV,Ahlulbayt,
Ahlulbayt TV,Ahlulbayt TV,Ahlulbayt,
Alibi +1,Alibi +1,Alibi+,tsod.plus-1.alibi.uktv.co.uk
Alibi,Alibi,Alibi,alibi.uktv.co.uk
Al Jazeera,Al Jazeera,AlJaz,aljazeera.net
Al Jazeera Eng,Al Jazeera,AlJaz,aljazeera.net
Animal Planet +1,Animal Planet +1,AniPlt+,tsod.plus-1.animalplanet.discoveryeurope.com
Animal Planet,Animal Planet,AniPlt,animalplanet.discoveryeurope.com
Argos TV,Argos TV,Argos,
Arsenal TV,Arsenal TV,Arsenal,
ARY Digital,ARY Digital,AryDig,arydigital.tv
ARY QTV,ARY QTV,ARYQTV,
ARY World,ARY World,ARYWld,
Bangla TV,Bangla TV,Bangla,
ATN Bangla UK,Bangla TV,Bangla,
Attheraces,Attheraces,ATR,attheraces.co.uk
B4U Movies,B4U Movies,B4UMov,b4utv.com
B4U Music,B4U Music,B4UMus,b4utv.com
Babeworld.tv,Babeworld.tv,Babewld,x
BBC 1 CI,BBC 1 CI,BBC 1 CI,x
BBC 1 East (E),BBC 1 East (E),BBC 1 East (E),x
BBC 1 East (W),BBC 1 East (W),BBC 1 East (W),x
BBC 1 E Mids,BBC 1 E Mids,BBC 1 E Mids,x
BBC 1 London,BBC 1 London,BBC 1 London,x
BBC 1 NE & C,BBC 1 NE & C,BBC 1 NE & C,x
BBC 1 NI,BBC 1 NI,BBC 1 NI,x
BBC 1 N West,BBC 1 N West,BBC 1 N West,x
BBC 1 Oxford,BBC 1 Oxford,BBC 1 Oxford,x
BBC 1 Scotland,BBC 1 Scotland,BBC 1 Scotland,x
BBC 1 S East,BBC 1 S East,BBC 1 S East,x
BBC 1 S West,BBC 1 S West,BBC 1 S West,x
BBC 1 Wales,BBC 1 Wales,BBC 1 Wales,x
BBC 1 West,BBC 1 West,BBC 1 West,x
BBC 1 W Mids,BBC 1 W Mids,BBC 1 W Mids,x
BBC 1 Yorks,BBC 1 Yorks,BBC 1 Yorks,x
BBC 1 Yrks&Lin,BBC 1 Yrks&Lin,BBC 1 Yrks&Lin,x
BBC 2 NI,BBC 2 NI,BBC 2 NI,x
BBC 2 Scotland,BBC 2 Scotland,BBC 2 Scotland,x
BBC 2 Wales,BBC 2 Wales,BBC 2 Wales,x
BBC One South West,BBC One South West,BBCON,x
BBC Alba,BBC Alba,BBCAl,alba.bbc.co.uk
BBC ALBA,BBC Alba,BBCAl,alba.bbc.co.uk
BBC Asian Net.,BBC Asian Network,BBC Asian,
BBC FOUR,BBC FOUR,BBC4,bbcfour.bbc.co.uk
BBC HD,BBC HD,BBCHD,hd.bbc.co.uk
BBC NEWS,BBC News Channel,BBCNEWS,news.bbc.co.uk
BBC News Channel,BBC News Channel,BBCNEWS,news.bbc.co.uk
BBC ONE,BBC ONE,BBC1,south.bbc1.bbc.co.uk
BBC 1 South,BBC ONE,BBC1,south.bbc1.bbc.co.uk
BBC One Generic,BBC ONE,BBC1,south.bbc1.bbc.co.uk
BBC One HD,BBC ONE HD,BBC1HD,hd.bbc1.bbc.co.uk
BBC ONE HD,BBC ONE HD,BBC1HD,hd.bbc1.bbc.co.uk
BBC 1 HD,BBC ONE HD,BBC1HD,hd.bbc1.bbc.co.uk
BBC Parliament,BBC Parliament,BBCPA,parliament.bbc.co.uk
BBC PARL'MNT,BBC Parliament,BBCPA,parliament.bbc.co.uk
BBC Radio 1,BBC Radio 1,BBCR1,radio-1.bbc.co.uk
BBC Radio 1 Xtra,BBC Radio 1 Xtra,BBCR1X,bbc_radio1_xtra
BBC R1X,BBC Radio 1 Xtra,BBCR1X,bbc_radio1_xtra
BBC Radio 2,BBC Radio 2,BBCR2,radio-2.bbc.co.uk
BBC Radio 3,BBC Radio 3,BBCR3,radio-3.bbc.co.uk
BBC Radio 4,BBC Radio 4,BBCR4,radio-4.bbc.co.uk
BBC Radio 4 Ex,BBC Radio 4 Extra,BBCR4X,
BBC Radio 4 Extra,BBC Radio 4 Extra,BBCR4X,
BBC Radio 4 Longwave,BBC Radio 4 Longwave,BBCR4LW,
BBC Radio 5 Live,BBC Radio 5 Live,BBCR5L,radio-5.bbc.co.uk
BBC R5L,BBC Radio 5 Live,BBCR5L,radio-5.bbc.co.uk
BBC Radio 5 Live Sports Extra,BBC Radio 5 Live Sports Extra,R5SX,bbc_radio5_live_sports_extra
BBC R5SX,BBC Radio 5 Live Sports Extra,R5SX,bbc_radio5_live_sports_extra
BBC Radio 6 Music,BBC Radio 6 Music,BBCR6,bbc_6music
BBC 6 Music,BBC Radio 6 Music,BBCR6,bbc_6music
BBC Red Button,BBC Red Button,BBC Red Button,x
BBC Sport Interactive,BBC Sport Interactive,BBCSP,interactive.sport.bbc.co.uk
BBC TES 3,BBC TES 3,BBC TES 3,x
BBC THREE,BBC THREE,BBC3,bbcthree.bbc.co.uk
BBC Three,BBC THREE,BBC3,bbcthree.bbc.co.uk
BBC TWO,BBC TWO,BBC2,south.bbc2.bbc.co.uk
BBC Two Generic,BBC TWO,BBC2,south.bbc2.bbc.co.uk
BBC Two South,BBC TWO,BBC2,south.bbc2.bbc.co.uk
BBC World Service,BBC World Service,BBCWS,
BBC World Sv.,BBC World Service,BBCWS,
Believe TV,Believe TV,Believe,
BEN,BEN,BEN,
Best Direct,Best Direct,Best Direct,bestdirect.tv
BET +1,BET +1,BET +1,tsod.plus-1.international.bet.com
BET,BET,BET,international.bet.com
bid tv,Bid TV,BidTV,bid.tv
Bid TV,Bid TV,BidTV,bid.tv
Big Deal,Big Deal,Big Deal,
Biography Channel,Biography Channel,Bio,biography-channel.biography.com
Bio HD,Bio HD,BioHD,hd.biography-channel.biography.com
Blighty,Blighty,Blghty,blighty.uktv.co.uk
Bliss,Bliss,Bliss,bliss.co.uk
Bloomberg,Bloomberg,Bloomberg,bloomberg.com
Blue Kiss TV,Blue Kiss TV,Blue Kiss,
Body In Balance,Body In Balance,Body In Balance,
Boomerang+1,Boomerang+1,Boom+1,tsod.plus-1.boomerang.cartoonnetwork.com
Boomerang,Boomerang,Boom,boomerang.cartoonnetwork.com
BoxNation,BoxNation,BoxNation,
Bravo +1,Bravo +1,Bra+1,tsod.plus-1.bravo.co.uk
Bravo 2,Bravo 2,Bravo2,bravo2.bravo.co.uk
Bravo,Bravo,Bravo,bravo.co.uk
Brit Asia TV,Brit Asia TV,Brit Asia,
British Eurosport 2,British Eurosport 2,ESpt2,2.british.eurosport.com
British Eurosport,British Eurosport,EurSpt,british.eurosport.com
c4 l,c4 l,c4 l,x
Capital FM,Capital FM,Capital,
Capital Gold,Capital Gold,CplGold,
Cartoonito,Cartoonito,Cartoonito,cartoonito.cartoonnetwork.com
Cartoon Network,Cartoon Network,CtnNet,uk.cartoonnetwork.com
Cartoon Network Too,Cartoon Network Too,CNToo,too.cartoonnetwork.com
CBBC,CBBC Channel,CBBC,cbbc.bbc.co.uk
CBBC Channel,CBBC Channel,CBBC,cbbc.bbc.co.uk
CBeebies,CBeebies,CBeeb,cbeebies.bbc.co.uk
CBS Action,CBS Action,CBSAcn,action.cbs.com
CBS Drama,CBS Drama,CBSDra,drama.cbs.com
CBS Reality+1,CBS Reality+1,CBSRty+1,tsod.plus-1.reality.cbs.com
CBS Reality +1,CBS Reality+1,CBSRty+1,tsod.plus-1.reality.cbs.com
CBS Reality,CBS Reality,CBSRty,reality.cbs.com
CCTV News,CCTV News,CCTV,
CelebrityShop,CelebrityShop,CelebShop,
Celtic TV,Celtic TV,Celtic,
Challenge +1,Challenge +1,Chl+1,tsod.plus-1.challengetv.co.uk
Challenge,Challenge,Chalng,challengetv.co.uk
Channel 4 +1,Channel 4 +1,C4+1,tsod.plus-1.channel4.com
Channel 4+1,Channel 4 +1,C4+1,tsod.plus-1.channel4.com
Channel 4,Channel 4,C4,channel4.com
Channel 4 HD,Channel 4 HD,C4HD,hd.channel4.com
Channel 5+1,Channel 5+1,C5+1,
Channel 5,Channel 5,C5,
Channel AKA,Channel AKA,AKA,
Channel i,Channel i,Chan i,
Channel M,Channel M,Chan M,channelm.co.uk
Channel 'S',Channel 'S',ChanS,chsuk.tv
Chart Show TV,Chart Show TV,ChartShow,chartshow.com
Chat Box,Chat Box,ChatBox,
Choice FM,Choice FM,Choice,
CITV,CITV,CITV,citv.itv.co.uk
Classic FM,Classic FM,Classic,
Clubland TV,Clubland TV,Clubland TV,
CNBC,CNBC,CNBC,europe.cnbc.com
CNC World,CNC World,CNC World,
CNN,CNN,CNN,europe.cnn.com
Comedy Central +1,Comedy Central +1,ComCn+,tsod.plus-1.comedycentral.com
Comedy Central,Comedy Central,ComCen,comedycentral.com
Comedy Central Extra,Comedy Central Extra,CdyCX,extra.comedycentral.com
Community Channel (Freeview),Community Channel,CmtyF,freeview.communitychannel.org
Community Channel (Virgin),Community Channel,CmtyV,communitychannel.org
CommunityChnl,Community Channel,Cmty,communitychannel.org
COMMUNITY,Community Channel,Cmty,communitychannel.org
Controversial tv,Controversial tv,Controversial,
Cream,Cream,Cream,
Create & Craft,Create & Craft,Create,
Crime and Investigation Network,Crime and Investigation Network,CINet,crimeandinvestigation.co.uk
Current TV,Current TV,Current,
DanceNationTV,DanceNationTV,DanceNation,mydancenation.com
Dating Channel,Dating Channel,Dating,
Dave,Dave,Dave,dave.uktv.co.uk
Dave Ja Vu,Dave Ja Vu,Dave+1,tsod.plus-1.dave.uktv.co.uk
Dave ja vu,Dave Ja Vu,Dave+1,tsod.plus-1.dave.uktv.co.uk
DAYSTAR,DAYSTAR,DAYSTAR,
Desh TV,Desh TV,Desh,
Dirty Talk,Dirty Talk,Dirty Talk,
Discovery Channel +1,Discovery Channel +1,Disc+,tsod.plus-1.discoveryeurope.com
Discovery Channel,Discovery Channel,Discov,discoveryeurope.com
Discovery History,Discovery History,DiscHist,history.discoveryeurope.com
Discovery Home & Health,Discovery Home & Health,DscH&H,health.discovery.com
Discovery Realtime +1,Discovery Realtime +1,RlTm+1,realtime.discoveryeurope.com
Discovery Realtime,Discovery Realtime,Realtm,plus-1.realtime.discoveryeurope.com
Discovery Science,Discovery Science,DscSci,science.discoveryeurope.com
Discovery Shed,Discovery Shed,DisSh,shed.discoveryeurope.com
Discovery Travel and Living,Discovery Travel and Living,DscTrv,travel.discoveryeurope.com
Discovery Turbo,Discovery Turbo,Turbo,turbo.discoveryeurope.com
Disney Channel+1,Disney Channel+1,Dsny+1,tsod.plus-1.disneychannel.disney.co.uk
Disney Channel,Disney Channel,Disney,disneychannel.disney.co.uk
Disney Cinemagic,Disney Cinemagic,DISCI,cinemagic.disney.co.uk
Disney Junior,Disney Junior,DisneyJr,junior.disney.co.uk
Disney XD +1,Disney XD +1,DisXD+,plus-1.xd.disney.co.uk
Disney XD,Disney XD,DisXD,xd.disney.co.uk
Diva +1,Diva +1,Diva+1,plus-1.divatv.co.uk
Diva TV,Diva TV,Diva TV,divatv.co.uk
Dmax,Dmax,Dmax,dmax.discoveryeurope.com
DM Digital,DM Digital,DM Digital,
E4 +1,E4 +1,E4+1,tsod.plus-1.e4.channel4.com
E4+1,E4 +1,E4+1,tsod.plus-1.e4.channel4.com
e4,E4,E4,e4.channel4.com
E4,E4,E4,e4.channel4.com
Eden,Eden,Eden,eden.uktv.co.uk
E! Entertainment,E! Entertainment,E!,eentertainment.com
Elite TV 2,Elite TV 2,Elite TV 2,
Elite TV,Elite TV,Elite TV,
ESPN America,ESPN America,ESPAm,espnamerica.com
ESPN Classic,ESPN Classic,ESPNClas,classic.espn.com
ESPN,ESPN,ESPN,uk.espn.com
Essex Babes,Essex Babes,Essex,x
ETV1,ETV1,ETV1,x
ETV2,ETV2,ETV2,x
ETV3,ETV3,ETV3,x
ETV5,ETV5,ETV5,x
ETV6,ETV6,ETV6,x
Euronews,Euronews,Euronews,euronews.com
EWTN,EWTN,EWTN,
Extreme Sports,Extreme Sports,X-Sprt,extreme.com
Faith World TV,Faith World TV,Faith World TV,
Film4 +1,Film4 +1,Film4+1,plus-1.filmfour.channel4.com
Film4 +1 (RT),Film4 +1,Film4+1,plus-1.filmfour.channel4.com
Film4,Film4,Film4,filmfour.channel4.com
Filmflex Previews,Filmflex Previews,FlmFlxPrv,filmflexmovies.co.uk
Filth,Filth,Filth,
Fitness TV,Fitness TV,Fitness,fitness.tv
five,Five,FIVE,channel5.co.uk
Five,Five,FIVE,channel5.co.uk
Channel 5,Five,FIVE,channel5.co.uk
Five USA +1,Five USA +1,5US+1,tsod.plus-1.fiveusa.channel5.co.uk
Five USA,Five USA,5US,fiveusa.channel5.co.uk
5 USA,Five USA,5US,fiveusa.channel5.co.uk
Flava,Flava,Flava,essentialflava.com
Flirt TV 2,Flirt TV 2,Flirt TV 2,
Flirt TV,Flirt TV,Flirt TV,
Food Network,Food Network,Food Network,foodnetwork.com
Food Netwrk+1,Food Network +1,Food Netwrk+1,plus-1.foodnetwork.com
FRANCE 24,France 24,Fr24,
FX,FX,FX,fxuk.tv
G49,G49,G49,x
G53,G53,G53,x
G54,G54,G54,x
Gay Chat TV,Gay Chat TV,Gay Chat,
GayDateTV,GayDate TV,GayDate,
Gay Network ,Gay Network,Gay Net,
Gems TV Extra,Gems TV Extra,Gems TVX,extra.gemstv.co.uk
Gems TV,Gems TV,Gems TV,gemstv.co.uk
Get Lucky TV,Get Lucky TV,Get Lucky TV,
Glory TV,Glory TV,Glory TV,
GOD Channel,God Channel,God,god.tv
God Channel,God Channel,God,god.tv
God Europe,God Channel,God,god.tv
G.O.L.D. +1,G.O.L.D. +1,GOLD+1,tsod.plus-1.gold.uktv.co.uk
G.O.L.D.,G.O.L.D.,GOLD,gold.uktv.co.uk
Gospel Channel,Gospel Channel,Gospel Channel,
Greatest Hits TV,Greatest Hits TV,Greatest Hits TV,
Heart,Heart,Heart,
heat,heat,heat,
Hidayat TV,Hidayat TV,Hidayat TV,
High Street TV,High Street TV,High Street TV,channelm.co.uk
History +1,History +1,HIS+1,tsod.plus-1.thehistorychannel.co.uk
History Channel,History Channel,Histry,thehistorychannel.co.uk
HiTV,HiTV,HiTV,
holiday+cruise,holiday+cruise,holiday+cruise,
Home +1,Home +1,Home+1,tsod.plus-1.home.uktv.co.uk
Home,Home,Home,
horror ch+1,horror ch+1,horror ch+1,plus-1.horror.cbs.com
Horror Channel,Horror Channel,Horror,horror.cbs.com
Horse & Country,Horse & Country,Horse & Country,
House Of Fun,House Of Fun,House Of Fun,
Ideal Extra,Ideal Extra,Ideal Extra,
Ideal & More,Ideal & More,Ideal & More,
Ideal World,Ideal World,IdlWrld,idealworld.tv
